,pattern_baseline_stability_corr,pattern_baseline_stability_p,pattern_high_excitement_corr,pattern_high_excitement_p,pattern_high_stress_corr,pattern_high_stress_p,pattern_mixed_pattern_corr,pattern_mixed_pattern_p,pattern_moderate_excitement_corr,pattern_moderate_excitement_p,pattern_moderate_stress_corr,pattern_moderate_stress_p,abs_importance
acoustic_volatility_scaled,-0.5102279111931993,0.010854686893966634,0.29513893080829834,0.16148000562497183,0.29513893080829834,0.16148000562497183,-0.18132116432555187,0.39647704266044104,0.2951389308082983,0.16148000562497183,0.3605011143522374,0.08353290781926292,0.3229111637159806
acoustic_volatility_index,-0.5102279111931993,0.010854686893966634,0.29513893080829834,0.16148000562497183,0.29513893080829834,0.16148000562497183,-0.18132116432555187,0.39647704266044104,0.2951389308082983,0.16148000562497183,0.3605011143522374,0.08353290781926292,0.3229111637159806
f0_std,-0.3808521400774162,0.06634523287849456,0.2645570217805283,0.21156438926867263,-0.001099078530835076,0.9959332740369173,-0.30399718810717014,0.14867911766779518,0.2645570217805283,0.21156438926867263,0.5658301109492324,0.00395285453812447,0.29681542687095175
acoustic_semantic_alignment,0.4080351024921492,0.04777562514484936,-0.17854525354153658,0.40386779735148437,0.2518948573912372,0.23506322899677173,-0.4568076479856747,0.024831642962329505,-0.22685996099618452,0.28641013305117513,0.21895684981316765,0.3039762608817019,0.29018327870332494
jitter_local,-0.3370628687292226,0.10725550577825321,0.19850119746982148,0.3524542512563443,-0.20333331917440317,0.34061287912508476,0.4005087555270599,0.05245143266160256,0.27599276607975437,0.19174575328778137,-0.2892319058265891,0.17043446854463318,0.2841051354678084
shimmer_local,-0.12066517509492933,0.5743626711462588,-0.27033839953033517,0.20137985604615732,-0.2703383995303352,0.20137985604615732,0.45609673108786597,0.025085961177630157,0.25623220111388606,0.22682834800471008,-0.3170728718537241,0.13112601912319452,0.281790629701846
acoustic_semantic_variability_distance,0.33514037706991695,0.10940084182940205,-0.20535705041154728,0.3357249241778657,-0.2817039699769606,0.1823396733412948,0.2014882383905335,0.34510606506294994,-0.15624119231308975,0.4659666907459251,-0.313850121442542,0.13530633358981553,0.248963491600765
f0_mean,-0.23298076380052932,0.27325325942250595,0.2756732903005213,0.19228152703782386,0.2756732903005217,0.19228152703782303,-0.2860748390797933,0.17535948370119703,-0.013406056807623388,0.9504254407766073,0.36473539148182443,0.07970687804689289,0.2414239386284689
sentiment_negative_scaled,-0.466187345035026,0.021666295817007943,-0.07598534847142017,0.7241713920280217,0.37212214095556373,0.0733512509968447,0.15218519026896365,0.4777639760368445,-0.12628312906855133,0.5565361799881174,0.24711919394729606,0.24435517538765697,0.23998039129113682
sentiment_negative,-0.466187345035026,0.021666295817007943,-0.07598534847142017,0.7241713920280217,0.37212214095556373,0.0733512509968447,0.15218519026896365,0.4777639760368445,-0.12628312906855133,0.5565361799881174,0.24711919394729606,0.24435517538765697,0.23998039129113682
