feature1,feature2,correlation,p_value,strength,is_significant
sentiment_negative,sentiment_neutral,-0.9920611908973249,1.7304089974319123e-19,strong,True
sentiment_neutral,sentiment_negative,-0.9920611908973249,1.7304089974319123e-19,strong,True
is_downgrade,is_affirm,-0.7977240352174656,9.99922491738608e-05,strong,True
is_affirm,is_downgrade,-0.7977240352174656,9.99922491738608e-05,strong,True
sentiment_negative,sentiment_variability,-0.7462032324791784,0.0006227377998449108,strong,True
sentiment_variability,sentiment_negative,-0.7462032324791784,0.0006227377998449108,strong,True
sentiment_neutral,sentiment_variability,0.6911657816227011,0.0030386082285559332,strong,True
sentiment_variability,sentiment_neutral,0.6911657816227011,0.0030386082285559332,strong,True
f0_cv,pause_frequency,0.6474988821750182,0.0074962883309718405,strong,True
pause_frequency,f0_cv,0.6474988821750182,0.0074962883309718405,strong,True
sentiment_positive,sentiment_variability,0.6441410952861558,0.0074962883309718405,strong,True
sentiment_variability,sentiment_positive,0.6441410952861558,0.0074962883309718405,strong,True
f0_cv,jitter_local,0.5937646849134338,0.020944992982223853,moderate,True
jitter_local,f0_cv,0.5937646849134338,0.020944992982223853,moderate,True
is_upgrade,is_affirm,-0.5516772843673704,0.0428641683045518,moderate,True
is_affirm,is_upgrade,-0.5516772843673704,0.0428641683045518,moderate,True
f0_cv,f0_std,0.5423976778339112,0.04529559557961745,moderate,True
f0_std,f0_cv,0.5423976778339112,0.04529559557961745,moderate,True
