,is_downgrade,is_upgrade,is_affirm
f0_cv,0.35537474783104284,0.20307811008562632,0.9920325206918195
f0_std,0.9858388395322568,0.21156438926867263,0.44650971828595454
jitter_local,0.7989518352656064,0.18587875462209758,0.5668193018299539
speech_rate,0.8069381116419578,0.6042751520560794,0.6045502754376928
pause_frequency,0.4661159170806367,0.257131639916827,0.19175020186775166
acoustic_volatility_index,0.9125450952024503,0.5819214395264956,0.8104187305843243
sentiment_positive,0.6392207857376045,0.4830519964008001,0.4130688662443971
sentiment_negative,0.6392961550006879,0.10485653750478492,0.17044663684428238
sentiment_neutral,0.6706931444740837,0.11116124297298187,0.18836922957799124
sentiment_variability,0.8779483902924696,0.10887816055817831,0.4131138248812851
acoustic_semantic_alignment,0.8452433253968261,0.2442946478277568,0.5952711154616936
