,f0_cv,f0_std,jitter_local,speech_rate,pause_frequency,acoustic_volatility_index,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability,acoustic_semantic_alignment,is_downgrade,is_upgrade,is_affirm
f0_cv,0.0,0.06245301814765436,0.028878702445187435,0.7104143996540195,0.010335791486642992,0.9920325206918195,0.6290308607914175,0.8718087661460155,0.8718087661460155,0.8718087661460155,0.9577675906905652,0.843406516092419,0.6290308607914175,0.9920325206918195
f0_std,0.06245301814765436,0.0,0.8543945014590215,0.6290308607914175,0.6290308607914175,0.09912332019796058,0.9920325206918195,0.8543945014590215,0.843406516092419,0.8718087661460155,0.9577675906905652,0.9920325206918195,0.6290308607914175,0.8718087661460155
jitter_local,0.028878702445187435,0.8543945014590215,0.0,0.6290308607914175,0.5519001165152594,0.9920325206918195,0.21351564664843148,0.8543945014590215,0.8718087661460155,0.6922134865201182,0.6290308607914175,0.9577675906905652,0.6290308607914175,0.8718087661460155
speech_rate,0.7104143996540195,0.6290308607914175,0.6290308607914175,0.0,0.8718087661460155,0.8718087661460155,0.6549193912789151,0.8718087661460155,0.8718087661460155,0.8718087661460155,0.9589104573350598,0.9577675906905652,0.8718087661460155,0.8718087661460155
pause_frequency,0.010335791486642992,0.6290308607914175,0.5519001165152594,0.8718087661460155,0.0,0.5519001165152594,0.9589104573350598,0.9726001942955607,0.9656895023024679,0.8845373354658206,0.8718087661460155,0.8718087661460155,0.6685422637837503,0.6290308607914175
acoustic_volatility_index,0.9920325206918195,0.09912332019796058,0.9920325206918195,0.8718087661460155,0.5519001165152594,0.0,0.8718087661460155,0.9577675906905652,0.9188718124763411,0.8718087661460155,0.9903825865103777,0.9791282169085462,0.8718087661460155,0.9577675906905652
sentiment_positive,0.6290308607914175,0.9920325206918195,0.21351564664843148,0.6549193912789151,0.9589104573350598,0.8718087661460155,0.0,0.4413075621906841,0.6290308607914175,0.010335791486642992,0.9791282169085462,0.8718087661460155,0.8718087661460155,0.8543945014590215
sentiment_negative,0.8718087661460155,0.8543945014590215,0.8543945014590215,0.8718087661460155,0.9726001942955607,0.9577675906905652,0.4413075621906841,0.0,2.3858669510046063e-19,0.0008586233300891953,0.2350671884458539,0.8718087661460155,0.5519001165152594,0.6290308607914175
sentiment_neutral,0.8718087661460155,0.843406516092419,0.8718087661460155,0.8718087661460155,0.9656895023024679,0.9188718124763411,0.6290308607914175,2.3858669510046063e-19,0.0,0.0041895961939180295,0.20422367411976514,0.8845373354658206,0.5519001165152594,0.6290308607914175
sentiment_variability,0.8718087661460155,0.8718087661460155,0.6922134865201182,0.8718087661460155,0.8845373354658206,0.8718087661460155,0.010335791486642992,0.0008586233300891953,0.0041895961939180295,0.0,0.6290308607914175,0.9726001942955607,0.5519001165152594,0.8543945014590215
acoustic_semantic_alignment,0.9577675906905652,0.9577675906905652,0.6290308607914175,0.9589104573350598,0.8718087661460155,0.9903825865103777,0.9791282169085462,0.2350671884458539,0.20422367411976514,0.6290308607914175,0.0,0.9614642826388897,0.6549193912789151,0.8718087661460155
is_downgrade,0.843406516092419,0.9920325206918195,0.9577675906905652,0.9577675906905652,0.8718087661460155,0.9791282169085462,0.8718087661460155,0.8718087661460155,0.8845373354658206,0.9726001942955607,0.9614642826388897,0.0,0.9577675906905652,0.00013786810113365655
is_upgrade,0.6290308607914175,0.6290308607914175,0.6290308607914175,0.8718087661460155,0.6685422637837503,0.8718087661460155,0.8718087661460155,0.5519001165152594,0.5519001165152594,0.5519001165152594,0.6549193912789151,0.9577675906905652,0.0,0.059100595692639604
is_affirm,0.9920325206918195,0.8718087661460155,0.8718087661460155,0.8718087661460155,0.6290308607914175,0.9577675906905652,0.8543945014590215,0.6290308607914175,0.6290308607914175,0.8543945014590215,0.8718087661460155,0.00013786810113365655,0.059100595692639604,0.0
