,f0_cv,f0_std,pause_frequency,jitter_local,sentiment_positive,sentiment_negative,sentiment_neutral,sentiment_variability,acoustic_semantic_alignment,is_downgrade,is_upgrade,is_affirm
f0_cv,0.0,0.006176672124493288,0.0006251924731490843,0.0022214386496298027,0.2042281902991634,0.4411542324569612,0.5274794019393532,0.610030822574765,0.7878805254504595,0.35537474783104284,0.20307811008562632,0.9920325206918195
f0_std,0.006176672124493288,0.0,0.22119766533324572,0.4020460508995656,0.9886552725246713,0.3811892865437705,0.36145993546817956,0.5588094086496803,0.7993402166722005,0.9858388395322568,0.21156438926867263,0.44650971828595454
pause_frequency,0.0006251924731490843,0.22119766533324572,0.0,0.11057854485793392,0.8324607266974695,0.8870968805113355,0.8595697767747241,0.6654887755595088,0.5147014684884208,0.4661159170806367,0.257131639916827,0.19175020186775166
jitter_local,0.0022214386496298027,0.4020460508995656,0.11057854485793392,0.0,0.028155909448144813,0.4022633716933347,0.557185707690838,0.2738426979640028,0.16518681170941762,0.7989518352656064,0.18587875462209758,0.5668193018299539
sentiment_positive,0.2042281902991634,0.9886552725246713,0.8324607266974695,0.028155909448144813,0.0,0.0678934711062591,0.22079733610048763,0.0006814807573610765,0.9145703124969937,0.6392207857376045,0.4830519964008001,0.4130688662443971
sentiment_negative,0.4411542324569612,0.3811892865437705,0.8870968805113355,0.4022633716933347,0.0678934711062591,0.0,2.6218318142907764e-21,2.8306263629314132e-05,0.03358102692083627,0.6392961550006879,0.10485653750478492,0.17044663684428238
sentiment_neutral,0.5274794019393532,0.36145993546817956,0.8595697767747241,0.557185707690838,0.22079733610048763,2.6218318142907764e-21,0.0,0.00018415807445793536,0.02468637819030128,0.6706931444740837,0.11116124297298187,0.18836922957799124
sentiment_variability,0.610030822574765,0.5588094086496803,0.6654887755595088,0.2738426979640028,0.0006814807573610765,2.8306263629314132e-05,0.00018415807445793536,0.0,0.20341021981551072,0.8779483902924696,0.10887816055817831,0.4131138248812851
acoustic_semantic_alignment,0.7878805254504595,0.7993402166722005,0.5147014684884208,0.16518681170941762,0.9145703124969937,0.03358102692083627,0.02468637819030128,0.20341021981551072,0.0,0.8452433253968261,0.2442946478277568,0.5952711154616936
is_downgrade,0.35537474783104284,0.9858388395322568,0.4661159170806367,0.7989518352656064,0.6392207857376045,0.6392961550006879,0.6706931444740837,0.8779483902924696,0.8452433253968261,0.0,0.770406744876073,3.0300681567836606e-06
is_upgrade,0.20307811008562632,0.21156438926867263,0.257131639916827,0.18587875462209758,0.4830519964008001,0.10485653750478492,0.11116124297298187,0.10887816055817831,0.2442946478277568,0.770406744876073,0.0,0.005195656764188097
is_affirm,0.9920325206918195,0.44650971828595454,0.19175020186775166,0.5668193018299539,0.4130688662443971,0.17044663684428238,0.18836922957799124,0.4131138248812851,0.5952711154616936,3.0300681567836606e-06,0.005195656764188097,0.0
